K,Silhouette Score,Inertia
2,0.19771683624211017,778813.5948784597
3,0.2364420252787831,658335.0812701203
4,0.22617662009155656,593031.0334609612
5,0.18653078837512813,548594.9222401126
6,0.1856957878625416,520710.6045511209
7,0.18661218332565951,486936.3975328704
8,0.16707483643037058,460215.406570942
9,0.1639392565173492,439036.66499429365
10,0.17353381277865768,415491.73113763874
